,nombre_reviwer,calificacion,tiempo,fecha_de_extraccion,fecha_del_comentario,hora,comentario,calidad_del_reviewer,id_local,pais,ciudad,sentimiento
98,Angelica Ospina, 4 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Nos atendieron super bien, además deliciosa la comida.",5 opiniones,"@6.2079071,-75.5997232",,,
99,Luz Maldonado, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Excelente. Nos gustó la comida, el ambiente y la música en vivo.",1 opinión,"@6.2079071,-75.5997232",,,
100,Hugo Franco, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Buena comida, atención un poco ansiosa, podrían darle más formalidad al espacio. Inolvidable por la compañía",7 opiniones,"@6.2079071,-75.5997232",,,
101,Xime Cano, 5 estrellas ,hace 3 meses,2021-05-02 22:02:06.578734,2021-02-02 22:02:06.578734,,"Comida deliciosa, atención espectacular",Local Guide ・41 opiniones,"@6.2079071,-75.5997232",,,
102,Hector Bedoya Ortegon, 2 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Lo único rico fueron las entradas, queso a la parrilla y chorizo argentino, la comida en cuanto a calidad precio no vale la pena",Local Guide ・26 opiniones,"@6.2079071,-75.5997232",,,
103,Luciano Camargo, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Buena comida y buena atención, un lugar muy acogedor",Local Guide ・96 opiniones,"@6.2079071,-75.5997232",,,
104,Julieth Almanza Araque, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Es un excelente lugar para disfrutar de un cumpleaños, la comida es excelente, hay shows en vivo los sábados y la atención espectacular, en especial de Jonatan. Recomendadísimo!",Local Guide ・77 opiniones,"@6.2079071,-75.5997232",,,
105,Yanet Zapata Aguirre, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Muy acogedor el sitio, la comida deliciosa, las personas muy atentas.
Lo recomiendo.",Local Guide ・62 opiniones,"@6.2079071,-75.5997232",,,
106,Sebastián Cardona, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"Restaurante espectacular si quieres una buena porción de carne y de la mejor calidad. Un buen servicio, un lugar acogedor y en donde se puede pasar un gran rato. Es un poco costoso, pero vale la pena.",Local Guide ・24 opiniones,"@6.2079071,-75.5997232",,,
107,Maria Alejandra Velásquez, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Buen ambiente, hubo música en vivo con voces espectaculares, buena recepción y atención y muy muy deliciosa la comida!!",Local Guide ・35 opiniones,"@6.2079071,-75.5997232",,,
108,Ana Maria Garcia, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Excelente servicio, la carne exquisita y el ambiente espectacular.",6 opiniones,"@6.2079071,-75.5997232",,,
109,Ana Cristina Diez, 5 estrellas ,hace 11 meses,2021-05-02 22:02:06.578734,2020-06-02 22:02:06.578734,,excelente servicio,2 opiniones,"@6.2079071,-75.5997232",,,
110,Juan Agudelo, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,"5 estrellas es una calificación que se queda corta. Z deUn lugar con la mejor calificación. Verdadero sabor de parrilla argentina, con precios justos y sabor inigualable. La atención es excelente y cada plato viene acompañado con ensalada…",Local Guide ・70 opiniones,"@6.2079071,-75.5997232",,,
111,pedro alejandro munera, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Una comida deliciosa. Música en vivoespectacular  y ambiente acogedor.,Local Guide ・18 opiniones,"@6.2079071,-75.5997232",,,
112,Santiago Parra, 5 estrellas ,hace 5 meses,2021-05-02 22:02:06.578734,2020-12-02 22:02:06.578734,,Excelente.,Local Guide ・15 opiniones,"@6.2079071,-75.5997232",,,
113,Juan Carlos Londoño, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Me gustó mucho su Churrasco 3/4 en sunpunto con carne tierna y jugosa. Atensido por Argentinos hasta el mesero que es hincha del Boca. Alli ha comido Messi y otras personalidades Argentinas.
Excelente barra de ensaladas incluidas en el…",Local Guide ・116 opiniones,"@6.2079071,-75.5997232",,,
114,Sergio Alejandro Salas Suarez, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Morcilla argentina excelente,Local Guide ・84 opiniones,"@6.2079071,-75.5997232",,,
115,Omar Rojas, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Muy buena calidad en carnes.,Local Guide ・42 opiniones,"@6.2079071,-75.5997232",,,
116,Juan Kenwan, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Deliciosa carne,Local Guide ・20 opiniones,"@6.2079071,-75.5997232",,,
117,Jaime Cruz, 5 estrellas ,2 años atrás,2021-05-02 22:02:06.578734,2019-05-02 22:02:06.578734,,La comida es extraordinaria y todo el personal muy atento . En especial Juan que nos hizo una recomendación muy buena del vino para acompañar la carne.,1 opinión,"@6.2079071,-75.5997232",,,
118,Andres Trujillo, 5 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,"Un restaurante muy bueno carta de acuerdo al concepto, gran atención con calidad y un ambiente extraordinario.
Totalmente recomendado",13 opiniones,"@6.2079071,-75.5997232",,,
119,Gloria Ospina, 4 estrellas ,un año atrás,2021-05-02 22:02:06.578734,2020-05-02 22:02:06.578734,,Muy rico,,"@6.2079071,-75.5997232",,,
120,Milena Ospina, 5 estrellas ,hace 3 meses,2021-05-02 22:02:53.843302,2021-02-02 22:02:53.843302,,"Exelente atención, muy variado, deliciosa comida, música en vivo",Local Guide ・35 opiniones,"@6.2462659,-75.6327594",,,
121,Gustavo Gamboa, 1 estrella ,hace 2 meses,2021-05-02 22:02:53.843302,2021-03-02 22:02:53.843302,,Chaufa de mariscos era puro arroz y casi nada de mariscos. Se les fue la mano con la salsa soya,6 opiniones,"@6.2462659,-75.6327594",,,
122,fernando montezuma, 4 estrellas ,hace un mes,2021-05-02 22:02:53.843302,2021-04-02 22:02:53.843302,,buena comida,5 opiniones,"@6.2462659,-75.6327594",,,
123,David blázquez-sanz, 3 estrellas ,hace 2 meses,2021-05-02 22:02:53.843302,2021-03-02 22:02:53.843302,,"La cocina no está mal, pero un sobreprecio ridículo en la bebida (19mil la copa de vino, de calidad medianita?) que no se justifica.",13 opiniones,"@6.2462659,-75.6327594",,,
124,Diana Carolina Bermúdez, 5 estrellas ,2 años atrás,2021-05-02 22:02:53.843302,2019-05-02 22:02:53.843302,,"¡El lugar es muy agradable y acogedor, el servicio excelente, muy amables y prestos a ofrecer una buena experiencia. La música en vivo estuvo genial, esa noche estuvo el grupo Cumaná Música, la comida es sencillamente exquisita!",9 opiniones,"@6.2462659,-75.6327594",,,
125,Carolina Botero, 5 estrellas ,2 años atrás,2021-05-02 22:02:53.843302,2019-05-02 22:02:53.843302,,Que espectáculo. Realmente todo delicioso. Arcoiris mi favorito.,Local Guide ・16 opiniones,"@6.2462659,-75.6327594",,,
126,David Rodriguez Oviedo, 5 estrellas ,3 años atrás,2021-05-02 22:02:53.843302,2018-05-02 22:02:53.843302,,Una experiencia inmejorable! Uno de los mejores restaurantes que he visitado. Verdaderamente la fusión y el homenaje que rinden a las dos culturas valen la pena.,Local Guide ・74 opiniones,"@6.2462659,-75.6327594",,,
127,Natalia Sanchez, 3 estrellas ,2 años atrás,2021-05-02 22:02:53.843302,2019-05-02 22:02:53.843302,,"Realmente esperaba mas. Las porciones son muy pequeñas. El precio es elevado para lo que se recibe. El servicio podria mejorar muchisimo. el sushi es aceptable, el arroz con pocos mariscos, el pescado porcion diminuta.

The portions are really small, the price is high for the product taste and quantity. Service can be improved.",Local Guide ・180 opiniones,"@6.2462659,-75.6327594",,,
128,juan gallego, 5 estrellas ,3 años atrás,2021-05-02 22:02:53.843302,2018-05-02 22:02:53.843302,,Cocina Nikkei sorprendente y lleno de platos exquisitos un imperdible su cremoso de mariscos y el arco iris roll.,Local Guide ・62 opiniones,"@6.2462659,-75.6327594",,,
129,vanesa builes, 5 estrellas ,3 años atrás,2021-05-02 22:02:53.843302,2018-05-02 22:02:53.843302,,"Para mi, el mejor sushi de la ciudad, excelente servicio, la música en vivo crea un ambiente excelente.",Local Guide ・34 opiniones,"@6.2462659,-75.6327594",,,
130,Manuel Espinosa Arias, 5 estrellas ,un año atrás,2021-05-02 22:02:53.843302,2020-05-02 22:02:53.843302,,Aunque demoró considerablemente en salir nuestro pedido. El resto del servicio y la comida estuvo deliciosa. Gran sitio. Recomendado.,Local Guide ・430 opiniones,"@6.2462659,-75.6327594",,,
131,Natalia Benitez Acevedo, 4 estrellas ,hace un mes,2021-05-02 22:02:53.843302,2021-04-02 22:02:53.843302,,"El lugar es rico, la atención es buena.",Local Guide ・18 opiniones,"@6.2462659,-75.6327594",,,
132,Andrés F, 5 estrellas ,un año atrás,2021-05-02 22:02:53.843302,2020-05-02 22:02:53.843302,,"La comida muy buena, la atención excepcional, muy atentos los que allí te sirven. Muy recomendado! El ambiente del lugar es muy agradable.",Local Guide ・28 opiniones,"@6.2462659,-75.6327594",,,
133,Alonso Marin Zapata, 5 estrellas ,hace 8 meses,2021-05-02 22:02:53.843302,2020-09-02 22:02:53.843302,,muy rico sabor y buena atención,13 opiniones,"@6.2462659,-75.6327594",,,
134,Adriana María Calderón Rojas, 5 estrellas ,3 años atrás,2021-05-02 22:02:53.843302,2018-05-02 22:02:53.843302,,"Excelente comida; tuve una muy buena experiencia en el sitio. Además, tenía música en vivo.",Local Guide ・9 opiniones,"@6.2462659,-75.6327594",,,
135,CRISTINA CHICA GOMEZ, 4 estrellas ,un año atrás,2021-05-02 22:02:53.843302,2020-05-02 22:02:53.843302,,"Un rico lugar para compartir en familia o pareja, ambiente acogedor. Deliciosa comida, mi recomendado El Arroz Cremoso de Mariscos. La carta no es muy amplia. Precio promedio 60.000",Local Guide ・60 opiniones,"@6.2462659,-75.6327594",,,
136,Kate Henao, 5 estrellas ,2 años atrás,2021-05-02 22:02:53.843302,2019-05-02 22:02:53.843302,,"Deliciosa su comida, excelente atención, lo recomiendo!!! 😊",Local Guide ・13 opiniones,"@6.2462659,-75.6327594",,,
137,Karen Ramírez, 3 estrellas ,un año atrás,2021-05-02 22:02:53.843302,2020-05-02 22:02:53.843302,,"Servicio aceptable, calidad de la comida buena; sin embargo, es demasiado costoso para la cantidad y calidad.",Local Guide ・54 opiniones,"@6.2462659,-75.6327594",,,
138,Harold Collazos Urbano, 5 estrellas ,4 años atrás,2021-05-02 22:02:53.843302,2017-05-02 22:02:53.843302,,Deliciosa comida muy rápido servicio y excelente atención,Local Guide ・32 opiniones,"@6.2462659,-75.6327594",,,
139,Sebastian Osorio Aguirre, 5 estrellas ,3 años atrás,2021-05-02 22:02:53.843302,2018-05-02 22:02:53.843302,,"Excelente servicio, el mejor del área Poblado*

Primero: Es sabroso el sitio.
Segundo: La música es muy agradable y endias especiales hay música en vivo.
Tercero: Es deliciosa la comida y sus postres son deliciosos.
Cuarto: El Sake es asombrosa.

Recomendado para los amantes al Sushi y comida peruana.

Excelente food and great service. Very nice presentation. Good variety. Top sushi choice in the Poblado area.",,"@6.2462659,-75.6327594",,,
140,jorge londoño, 5 estrellas ,un año atrás,2021-05-02 22:03:38.754756,2020-05-02 22:03:38.754756,,"comida saludable con muy buen sabor,  el ambiente es muy agradable y los precios muy buenos.
el sushi es delicioso igual que los arroces
importante el concepto de los vasos y los cubiertos, ya que son hechos con material reciclado lo cual lo hace amigable con el medio habiente.
para terminar nuevamente con el tema de la comida, es muy rica, todo lo que he probado me ha gustado mucho",Local Guide ・139 opiniones,"@6.2076534,-75.6010846",,,
141,Juan David Munera, 5 estrellas ,hace 7 meses,2021-05-02 22:03:38.754756,2020-10-02 22:03:38.754756,,"Muy buena explicación, sitio agradable, buena localización y comida de calidad",Local Guide ・261 opiniones,"@6.2076534,-75.6010846",,,
142,Estefania Ossa, 5 estrellas ,2 años atrás,2021-05-02 22:03:38.754756,2019-05-02 22:03:38.754756,,"Delicioso!! Pedimos varios platos, todos diferentes, para probar y todos estaban muy ricos! La cantidad es muy buena y el sabor delicioso, el favorito fue el sushi bowl. La salsa de aguacate es muy rica y las bebidas que preparan también. Nos atendieron muy bien, el lugar es agradable.",Local Guide ・37 opiniones,"@6.2076534,-75.6010846",,,
143,Sara Manuela Duque, 2 estrellas ,2 años atrás,2021-05-02 22:03:38.754756,2019-05-02 22:03:38.754756,,La comida estaba bien pero exageradamente LENTOOOO,Local Guide ・13 opiniones,"@6.2076534,-75.6010846",,,
144,Tomás Ortiz, 3 estrellas ,2 años atrás,2021-05-02 22:03:38.754756,2019-05-02 22:03:38.754756,,"Una alternativa fresca, rápida y saludable. Está rico y no es caro. Sin embargo creo que los precios no son tan económicos como para no tener servicio de mesa. Poca variedad de bebidas. Presentación buena, pero mucho arroz y poco pescado, lo que explica los precios",Local Guide ・129 opiniones,"@6.2076534,-75.6010846",,,
145,fernando montezuma, 5 estrellas ,hace un mes,2021-05-02 22:03:38.754756,2021-04-02 22:03:38.754756,,"todo delicioso
la atención super",5 opiniones,"@6.2076534,-75.6010846",,,
146,Patricia Grullon, 5 estrellas ,2 años atrás,2021-05-02 22:03:38.754756,2019-05-02 22:03:38.754756,,"Que rico, tienen muchas opciones Veganas y llenas de sabor! Volveré mañana. :)

They have colorfull and flavored meals. Its very good",Local Guide ・22 opiniones,"@6.2076534,-75.6010846",,,
147,IC GM, 5 estrellas ,2 años atrás,2021-05-02 22:03:38.754756,2019-05-02 22:03:38.754756,,"Sin duda de mis restaurantes favoritos de Medellín.

PROS:

1. Personal educado  y atento (incluido el jefe).
2. Parte de la cocina abierta y visible al público.
3. Cuenta con terraza.
4. Céntrico dentro de Poblado.
5. Sin duda de los…",Local Guide ・441 opiniones,"@6.2076534,-75.6010846",,,
148,Juan David Graciano, 5 estrellas ,un año atrás,2021-05-02 22:03:38.754756,2020-05-02 22:03:38.754756,,"Muy rico sushi, y más estando en el sushimasterco, fue muy rápida la atención, linda presentación y delicioso plato",Local Guide ・102 opiniones,"@6.2076534,-75.6010846",,,
149,C. Esteban HG, 4 estrellas ,un año atrás,2021-05-02 22:03:38.754756,2020-05-02 22:03:38.754756,,"Muuuy bueno.
Muy bonito
Muy agradable el lugar, estilo y ambiente.

Combinación de ingredientes bien pensada y muy original.

Bastante recomendado. 👍🏼👍🏼👏👏🍣🍣",,"@6.2076534,-75.6010846",,,
150,wilson bedoya, 5 estrellas ,hace 2 días,2021-05-02 22:04:26.409325,,,"Definitivamente el mejor restaurante de Medellin y me atrevería a decir que del país. El lugar, la atención y sus productos son la definición de perfección.

Si estás en Medellín y quieres visitar un restaurante donde al terminar tu plato te digas que definitivamente valió la pena, debes ir claramente a la Pampa Parrilla Argentina!",Local Guide ・38 opiniones,"@6.2471158,-75.6296551",,,
151,Luis Angel Vásquez Vásquez, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Excelente restaurante. Gran variedad de comidas e incomparables sabores, en una agradable compañía de buena música en vivo. Muy buen servicio, atento y ágil.",Local Guide ・69 opiniones,"@6.2471158,-75.6296551",,,
152,FERNANDA ÁLVAREZ, 4 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Excelente lugar para ir a cenar con una buena compañía, música en vivo los viernes. Agradable y excelente atención. La comida súper .......",Local Guide ・13 opiniones,"@6.2471158,-75.6296551",,,
153,Claudia Lucía Arroyave H., 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Comida rica. Recomiendo de entrada al chorizo. Todas las conidas son muy ricas,37 opiniones,"@6.2471158,-75.6296551",,,
154,Felipe Marino, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"La calidad de la carne es muy alta, tienen también cortes importados de angus certificada. Muy buena preparación a la parrilla y carta generosa de vinos",27 opiniones,"@6.2471158,-75.6296551",,,
155,Alejo R, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Excelente , delicioso y muy buena atención",Local Guide ・58 opiniones,"@6.2471158,-75.6296551",,,
156,Leidy and Bruce B.B, 5 estrellas ,3 semanas atrás,2021-05-02 22:04:26.409325,2021-04-11 22:04:26.409325,,Delicioso y buen servicio. Recomendado,Local Guide ・83 opiniones,"@6.2471158,-75.6296551",,,
157,Angelica Carmona, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Lugar ideal para compartir en familia y disfrutar de un buen plato ...
Haces un viaje en el tiempo con su música en vivo WOW 👏👏👏",7 opiniones,"@6.2471158,-75.6296551",,,
158,Luis Eduardo Cañas Gómez, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Excelente lugar, muy buena la atención",17 opiniones,"@6.2471158,-75.6296551",,,
159,Luis Cortes, 3 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"El servicio a la mesa y atención sobresalientes.

El ambiente, mesas y música en vivo muy buenos.

Todos los platos del menú muy buenos y sus cortes de carnes nacionales e importadas son deliciosas.

De no pedir: El Cochinillo... muy plano su sabor, sin ninguna jugosidad  y sin ninguna gracia al paladar. Así mismo, las ensaladas de verduras que vienen como acompañamiento debe mejorar, ademas que no son generosos al servirla.

Y el baño de hombres deben estár mas atentos con los insumos para el lavado y secado de manos.

En general bueno.",Local Guide ・211 opiniones,"@6.2471158,-75.6296551",,,
160,Gabriel Sánchez, 5 estrellas ,3 semanas atrás,2021-05-02 22:04:26.409325,2021-04-11 22:04:26.409325,,"Excelente, soy cliente habitual y es una de las mejores opciones para comer buena carne en la ciudad.",Local Guide ・57 opiniones,"@6.2471158,-75.6296551",,,
161,Jorge PIANISTA Quinchia Gomez, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Sabrosa comida, excelente musica y excelente agrupación musical MUSICADOLCE.",Local Guide ・54 opiniones,"@6.2471158,-75.6296551",,,
162,Estefany Garces, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Todos es delicioso, las carnes y las hamburguesas muy muy ricas. El domingo que fui llevaron música tradicional argentina en vivo",Local Guide ・107 opiniones,"@6.2471158,-75.6296551",,,
163,Emanuel Osorio Gonzalez, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,Muy buena comida,12 opiniones,"@6.2471158,-75.6296551",,,
164,Augusto Alvarez, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,"Excelente servicio, las opciones de comer y su sabor hablan por si solas y la gran atención del señor jhon ruiz. Gracias que servicio",1 opinión,"@6.2471158,-75.6296551",,,
165,Cecilia Pulgarin, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,Como siempre delicioso.  Es un gusto visitarlos. 😋❣️,10 opiniones,"@6.2471158,-75.6296551",,,
166,marisol ramirez, 5 estrellas ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"Excelente! Es un lugar excepcional con una variada carta de carnes! Sabor único, atención inigualable y ambiente familiar.",Local Guide ・51 opiniones,"@6.2471158,-75.6296551",,,
167,Alejandro Zapata, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,"Me gusto el servicio, el sabor, música en vivo, cumpliendo los protocolos de bioseguridad.  Lo calificó excelente.",8 opiniones,"@6.2471158,-75.6296551",,,
168,Laura Marcela Alvarez Arias, 3 estrellas ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"Rica la comida, buen sabor pero los precios son muy altos para comida tan básica. Se equivocan mucho en los pedidos y querían ""meternos"" una punta de anca que tenía un 80% de gordo. Se disculparon posteriormente por ser un mal corte pero era evidente desde el principio y aun así insistieron.",Local Guide ・40 opiniones,"@6.2471158,-75.6296551",,,
169,xebaxtian arango, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,Muy  rico  todo,Local Guide ・9 opiniones,"@6.2471158,-75.6296551",,,
170,carlos mario palacio velasquez, 4 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,Excelente comida. Música en vivo y una atención especial,Local Guide ・15 opiniones,"@6.2471158,-75.6296551",,,
171,paola zapata, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,La comida ds espectacular la atención ni se diga excelente totalmente recomedado 😙👌,Local Guide ・58 opiniones,"@6.2471158,-75.6296551",,,
172,Cindy Cardona, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Nos encantó,la carne más que rica y la atención  muy buena  super recomendado",24 opiniones,"@6.2471158,-75.6296551",,,
173,Victor Carrillo Ortiz, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Muy buena,Local Guide ・7 opiniones,"@6.2471158,-75.6296551",,,
174,Esteban Rojas, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"De todo mi gusto, suoer recomendado",Local Guide ・9 opiniones,"@6.2471158,-75.6296551",,,
175,Jonathan Arles, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,Se esfuerzan por brindar una gran experiencia a todos los sentidos.,19 opiniones,"@6.2471158,-75.6296551",,,
176,Edgar Fumero, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Excelente lugar,Local Guide ・28 opiniones,"@6.2471158,-75.6296551",,,
177,Karen Cardona, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Excelente lugar,1 opinión,"@6.2471158,-75.6296551",,,
178,Vida Sana, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Excelente servicio, comida deliciosa, el grupo de música en vivo espectacular.",1 opinión,"@6.2471158,-75.6296551",,,
179,Juan Fernández Amariles, 5 estrellas ,una semana atrás,2021-05-02 22:04:26.409325,2021-04-25 22:04:26.409325,,Excelente atención y la comida deliciosa!,Local Guide ・26 opiniones,"@6.2471158,-75.6296551",,,
180,Luisa Bernal, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Deliciosa carne y excelente servicio,Local Guide ・67 opiniones,"@6.2471158,-75.6296551",,,
181,William Quinchia Gomez, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Excelente música,excelente comida, un lugar muy agradable.",4 opiniones,"@6.2471158,-75.6296551",,,
182,Sandra Gil, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,"La comida es deliciosa,  la atención es excelente,  los meseros y el personal muy amables y atentos.",Local Guide ・27 opiniones,"@6.2471158,-75.6296551",,,
183,Pablo Alzate, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Excelente servicio al cliente, variedad en la carta.",Local Guide ・12 opiniones,"@6.2471158,-75.6296551",,,
184,UNIDAD DE SERVICIOS ESPECIALES E INVESTIGACION, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,"Excelente atención, ambiente familiar, música en vivo, buenos precios, la mejor carne de Medellín",Local Guide ・12 opiniones,"@6.2471158,-75.6296551",,,
185,Jose Luis Castaño, 4 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,"Buen sitio, parrilla, buena sason y música en vivo, algo costoso.",Local Guide ・121 opiniones,"@6.2471158,-75.6296551",,,
186,Santiago Quiroz Ruiz, 5 estrellas ,hace 3 meses,2021-05-02 22:04:26.409325,2021-02-02 22:04:26.409325,,"Exquisito, la atención es excepcional, son rápidos y el lugar es muy agradable, el precio es muy razonable y las porciones muy buenas",Local Guide ・26 opiniones,"@6.2471158,-75.6296551",,,
187,carlos fernando cataño, 5 estrellas ,3 semanas atrás,2021-05-02 22:04:26.409325,2021-04-11 22:04:26.409325,,Excelente servicio y comida muy buena,14 opiniones,"@6.2471158,-75.6296551",,,
188,Ivan Otalvaro, 5 estrellas ,hace 2 meses,2021-05-02 22:04:26.409325,2021-03-02 22:04:26.409325,,"Excelente atención, música agradable y la mejor carne de la ciudad",Local Guide ・74 opiniones,"@6.2471158,-75.6296551",,,
189,Ana Ospina Rojas, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Todo estuvo super delicioso, el servicio muy bueno",Local Guide ・37 opiniones,"@6.2471158,-75.6296551",,,
190,Ana Maria Osorio Vasquez, 5 estrellas ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"La atención excelente, y el sabor de la. Comida delicioso. El ambiente muy agradable y la música en vivo también.",Local Guide ・56 opiniones,"@6.2471158,-75.6296551",,,
191,Andru G. Tobòn, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Me encanta este lugar... La atención, la decoración y sobre todo los platos que allí sirven, excelente opción gastronómica para los amantes a la parrillada...",Local Guide ・81 opiniones,"@6.2471158,-75.6296551",,,
192,Camila Ramirez Velasquez, 5 estrellas ,4 semanas atrás,2021-05-02 22:04:26.409325,2021-04-04 22:04:26.409325,,Deliciosos steaks!!! 👌,Local Guide ・20 opiniones,"@6.2471158,-75.6296551",,,
193,ESPECIALISTA EN SOCIAL MEDIA, 5 estrellas ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"Un sitio acogedor
Comida increíble
Sabores deliciosos",Local Guide ・160 opiniones,"@6.2471158,-75.6296551",,,
194,Claudio Z, 1 estrella ,2 años atrás,2021-05-02 22:04:26.409325,2019-05-02 22:04:26.409325,,"Carne dura y sin sabor
Cerveza tibia en verano, tuve que pedir hielo para poder tomarla
Chorizo seco de rara calidad o parecia viejo que ya lo tenian preparado de otro dia
El salad bar bastante bien
El servicio es de mediocre a malo
Recomiendo el salad bar",Local Guide ・36 opiniones,"@6.2471158,-75.6296551",,,
195,Santiago Pajon, 5 estrellas ,un año atrás,2021-05-02 22:04:26.409325,2020-05-02 22:04:26.409325,,"Buena atención, con muy buenas opciones en carnes. Las instalaciones son muy aseadas y los precios son acordé a la calidad de la comida. Recomendable para un buen filete un chorizo o hasta una hamburguesa. La única recomendación es no…",Local Guide ・176 opiniones,"@6.2471158,-75.6296551",,,
196,william alexis cifuentes arenass, 5 estrellas ,4 semanas atrás,2021-05-02 22:04:26.409325,2021-04-04 22:04:26.409325,,Espectacular,1 opinión,"@6.2471158,-75.6296551",,,
197,gabriel morales arbelaez, 5 estrellas ,hace un mes,2021-05-02 22:04:26.409325,2021-04-02 22:04:26.409325,,Delicioso,8 opiniones,"@6.2471158,-75.6296551",,,
198,CARLOS HERNAN GALEANO, 4 estrellas ,hace 4 meses,2021-05-02 22:04:26.409325,2021-01-02 22:04:26.409325,,Un lugar en para disfrutar de una rica carne,Local Guide ・50 opiniones,"@6.2471158,-75.6296551",,,
